time,sqNum,stnum,state_cb,sqDiff,stDiff,timeLastMsg,recentChange,MU1Cs,MU2Cs,MU3Cs,MU4Cs,Cs,consistency,threePhaseVSum,threePhaseCSum,threePhaseVMU1,MU1VoltageAngleA,MU1VoltageAngleB,MU1VoltageAngleC,threePhaseCurrentMU1,MU1CurrentAngleA,MU1CurrentAngleB,MU1CurrentAngleC,MU1Log,threePhaseVMU2,MU2VoltageAngleA,MU2VoltageAngleB,MU2VoltageAngleC,threePhaseCMU2,MU2CurrentAngleA,MU2CurrentAngleB,MU2CurrentAngleC,MU2Log,threePhaseVMU3,MU3VoltageAngleA,MU3VoltageAngleB,MU3VoltageAngleC,threePhaseCMU3,MU3CurrentAngleA,MU3CurrentAngleB,MU3CurrentAngleC,MU3Log,threePhaseVMU4,MU4VoltageAngleA,MU4VoltageAngleB,MU4VoltageAngleC,threePhaseCMU4,IED4_iA,IED4_iB,IED4_iC,MU4Log,any_relay,class
52.4,5240,0,0,0,0,0,0,0,0,0,0,0,-11.5148748458514,2.23976262105451,0.737753137900564,0.581787267598008,3.14159265358979,3.14159265358979,0,0.320629994241014,0,0,3.14159265358979,0,0.572124485979134,3.14159265358979,3.14159265358979,0,0.0451561715887556,3.14159265358979,3.14159265358979,0,0,0.554703339643303,3.14159265358979,3.14159265358979,0,0.190317267989024,0,0,3.14159265358979,0,0.531147527834068,3.14159265358979,3.14159265358979,0,0.181649704081771,-0.155330746747069,-0.0797521429744717,0.235082889843418,0,0,1
52.6,5260,0,0,0,0,0,0,0,0,0,0,0,-11.5148748458242,2.23976262105496,0.737753137899951,0.58178726759755,3.14159265358979,3.14159265358979,0,0.320629994240848,0,0,3.14159265358979,0,0.572124485979041,3.14159265358979,3.14159265358979,0,0.0451561715887648,3.14159265358979,3.14159265358979,0,0,0.554703339643399,3.14159265358979,3.14159265358979,0,0.190317267988604,0,0,3.14159265358979,0,0.531147527834971,3.14159265358979,3.14159265358979,0,0.181649704081734,-0.155330746748434,-0.0797521429741393,0.235082889844451,0,0,1
52.8,5280,0,0,0,0,0,0,0,0,0,0,0,-11.5148748457687,2.23976262105765,0.737753137897672,0.581787267600572,3.14159265358979,3.14159265358979,0,0.320629994239767,0,0,3.14159265358979,0,0.57212448597988,3.14159265358979,3.14159265358979,0,0.045156171588857,3.14159265358979,3.14159265358979,0,0,0.55470333964263,3.14159265358979,3.14159265358979,0,0.190317267987974,0,0,3.14159265358979,0,0.53114752783457,3.14159265358979,3.14159265358979,0,0.181649704081074,-0.15533074675094,-0.0797521429724147,0.235082889845232,0,0,1
53,5300,0,0,0,0,0,0,0,0,0,0,0,-11.5148748456547,2.23976262106327,0.737753137900921,0.581787267601122,3.14159265358979,3.14159265358979,0,0.320629994241263,0,0,3.14159265358979,0,0.572124485981929,3.14159265358979,3.14159265358979,0,0.0451561715888201,3.14159265358979,3.14159265358979,0,0,0.554703339644648,3.14159265358979,3.14159265358979,0,0.190317267988884,0,0,3.14159265358979,0,0.531147527835573,3.14159265358979,3.14159265358979,0,0.181649704081954,-0.155330746752282,-0.0797521429726976,0.235082889846857,0,0,1
53.2,5320,0,0,0,0,0,0,0,0,0,0,0,-11.5148748457189,2.23976262106326,0.737753137899566,0.581787267600206,3.14159265358979,3.14159265358979,0,0.320629994240765,0,0,3.14159265358979,0,0.57212448598109,3.14159265358979,3.14159265358979,0,0.0451561715887832,3.14159265358979,3.14159265358979,0,0,0.554703339646089,3.14159265358979,3.14159265358979,0,0.190317267988394,0,0,3.14159265358979,0,0.531147527835874,3.14159265358979,3.14159265358979,0,0.181649704081624,-0.155330746754817,-0.0797521429700857,0.235082889846779,0,0,1
53.4,5340,0,0,0,0,0,0,0,0,0,0,0,-11.5148748456842,2.23976262105975,0.737753137899243,0.581787267598374,3.14159265358979,3.14159265358979,0,0.320629994240765,0,0,3.14159265358979,0,0.572124485981836,3.14159265358979,3.14159265358979,0,0.0451561715887925,3.14159265358979,3.14159265358979,0,0,0.554703339644264,3.14159265358979,3.14159265358979,0,0.190317267988429,0,0,3.14159265358979,0,0.531147527835272,3.14159265358979,3.14159265358979,0,0.181649704081258,-0.155330746756446,-0.0797521429695399,0.235082889847864,0,0,1
53.6,5360,0,0,0,0,0,0,0,0,0,0,0,-11.5148748456639,2.23976262106457,0.737753137897056,0.581787267602038,3.14159265358979,3.14159265358979,0,0.320629994239019,0,0,3.14159265358979,0,0.572124485982022,3.14159265358979,3.14159265358979,0,0.0451561715887832,3.14159265358979,3.14159265358979,0,0,0.55470333964484,3.14159265358979,3.14159265358979,0,0.190317267988289,0,0,3.14159265358979,0,0.531147527835673,3.14159265358979,3.14159265358979,0,0.181649704080964,-0.155330746758188,-0.0797521429687976,0.235082889848864,0,0,1
53.8,5380,0,0,0,0,0,0,0,0,0,0,0,-11.514874845537,2.23976262107343,0.737753137899651,0.581787267604053,3.14159265358979,3.14159265358979,0,0.320629994241014,0,0,3.14159265358979,0,0.57212448598463,3.14159265358979,3.14159265358979,0,0.0451561715888847,3.14159265358979,3.14159265358979,0,0,0.554703339646761,3.14159265358979,3.14159265358979,0,0.190317267988569,0,0,3.14159265358979,0,0.531147527837981,3.14159265358979,3.14159265358979,0,0.181649704081184,-0.155330746760605,-0.0797521429672278,0.235082889849711,0,0,1
54,5400,0,0,0,0,0,0,0,0,0,0,0,-11.5148748454985,2.23976262107102,0.737753137900278,0.581787267602404,3.14159265358979,3.14159265358979,0,0.320629994241762,0,0,3.14159265358979,0,0.572124485983605,3.14159265358979,3.14159265358979,0,0.0451561715889215,3.14159265358979,3.14159265358979,0,0,0.55470333964753,3.14159265358979,3.14159265358979,0,0.190317267988044,0,0,3.14159265358979,0,0.531147527837479,3.14159265358979,3.14159265358979,0,0.181649704081551,-0.155330746761865,-0.0797521429670854,0.235082889850827,0,0,1
54.2,5420,0,0,0,0,0,0,0,0,0,0,0,-11.5148748454803,2.23976262107164,0.73775313790035,0.581787267601305,3.14159265358979,3.14159265358979,0,0.320629994241429,0,0,3.14159265358979,0,0.572124485985003,3.14159265358979,3.14159265358979,0,0.0451561715890875,3.14159265358979,3.14159265358979,0,0,0.554703339646954,3.14159265358979,3.14159265358979,0,0.190317267988429,0,0,3.14159265358979,0,0.531147527838382,3.14159265358979,3.14159265358979,0,0.181649704081404,-0.155330746763929,-0.0797521429659895,0.235082889851799,0,0,1
